company,github_owner,github_repo,github_url,event_date,event_text,is_funding_event,source,source_url
encode,encode,django-rest-framework,https://github.com/encode/django-rest-framework,2024-01-01 00:00:00+00:00,Django REST Framework github.com/ /django-rest-framework Tier-1 OSS standard,False,VC Deal Flow Signal Underwriting Receipts,https://signals.gitdealflow.com/wins
remotion-dev,remotion-dev,remotion,https://github.com/remotion-dev/remotion,2024-01-01 00:00:00+00:00,Remotion github.com/ /remotion Mass adoption / VC-backed,False,VC Deal Flow Signal Underwriting Receipts,https://signals.gitdealflow.com/wins
tauri-apps,tauri-apps,tauri,https://github.com/tauri-apps/tauri,2024-01-01 00:00:00+00:00,Tauri github.com/ /tauri 75K+ stars / Open Collective backed,False,VC Deal Flow Signal Underwriting Receipts,https://signals.gitdealflow.com/wins
vapor,vapor,vapor,https://github.com/vapor/vapor,2024-01-01 00:00:00+00:00,Vapor github.com/ / Mass adoption,False,VC Deal Flow Signal Underwriting Receipts,https://signals.gitdealflow.com/wins
qdrant,qdrant,qdrant,https://github.com/qdrant/qdrant,2024-01-23 00:00:00+00:00,Qdrant github.com/ / $28M Series A (Spark Capital),True,VC Deal Flow Signal Underwriting Receipts,https://signals.gitdealflow.com/wins
tursodatabase,tursodatabase,libsql,https://github.com/tursodatabase/libsql,2024-02-01 00:00:00+00:00,Turso (ChiselStrike) github.com/ /libsql $10M seed (a16z),True,VC Deal Flow Signal Underwriting Receipts,https://signals.gitdealflow.com/wins
stripe,stripe,stripe-node,https://github.com/stripe/stripe-node,2024-02-13 00:00:00+00:00,Stripe github.com/ / -node $95B valuation (tender offer),False,VC Deal Flow Signal Underwriting Receipts,https://signals.gitdealflow.com/wins
langchain-ai,langchain-ai,langchain,https://github.com/langchain-ai/langchain,2024-02-15 00:00:00+00:00,LangChain github.com/ /langchain $25M Series A (Sequoia),True,VC Deal Flow Signal Underwriting Receipts,https://signals.gitdealflow.com/wins
langchain-ai,langchain-ai,langgraph,https://github.com/langchain-ai/langgraph,2024-02-15 00:00:00+00:00,LangChain github.com/ /langgraph $25M Series A (Sequoia),True,VC Deal Flow Signal Underwriting Receipts,https://signals.gitdealflow.com/wins
shadcn-ui,shadcn-ui,ui,https://github.com/shadcn-ui/ui,2024-03-01 00:00:00+00:00,shadcn/ui github.com/ /ui Mass adoption / 75K+ stars,False,VC Deal Flow Signal Underwriting Receipts,https://signals.gitdealflow.com/wins
togethercomputer,togethercomputer,RedPajama-Data,https://github.com/togethercomputer/RedPajama-Data,2024-03-13 00:00:00+00:00,Together AI github.com/ /RedPajama-Data $106M Series A (Salesforce),True,VC Deal Flow Signal Underwriting Receipts,https://signals.gitdealflow.com/wins
stitionai,stitionai,devika,https://github.com/stitionai/devika,2024-03-25 00:00:00+00:00,Devika github.com/ /devika Viral breakout / 18K+ stars in 2 weeks,False,VC Deal Flow Signal Underwriting Receipts,https://signals.gitdealflow.com/wins
AppFlowy-IO,AppFlowy-IO,AppFlowy,https://github.com/AppFlowy-IO/AppFlowy,2024-04-01 00:00:00+00:00,AppFlowy github.com/ /AppFlowy $6.4M seed,True,VC Deal Flow Signal Underwriting Receipts,https://signals.gitdealflow.com/wins
ggml-org,ggml-org,llama.cpp,https://github.com/ggml-org/llama.cpp,2024-04-01 00:00:00+00:00,llama.cpp github.com/ /llama.cpp Breakout adoption / 70K+ stars,False,VC Deal Flow Signal Underwriting Receipts,https://signals.gitdealflow.com/wins
microsoft,microsoft,autogen,https://github.com/microsoft/autogen,2024-04-01 00:00:00+00:00,Microsoft AutoGen github.com/ /autogen Breakout adoption / 35K+ stars,False,VC Deal Flow Signal Underwriting Receipts,https://signals.gitdealflow.com/wins
tinygrad,tinygrad,tinygrad,https://github.com/tinygrad/tinygrad,2024-04-01 00:00:00+00:00,/ tiny corp github.com/ / Breakout / commercial release,False,VC Deal Flow Signal Underwriting Receipts,https://signals.gitdealflow.com/wins
clerk,clerk,javascript,https://github.com/clerk/javascript,2024-04-09 00:00:00+00:00,Clerk github.com/ /javascript $30M Series A (Stripes),True,VC Deal Flow Signal Underwriting Receipts,https://signals.gitdealflow.com/wins
supabase,supabase,supabase,https://github.com/supabase/supabase,2024-04-15 00:00:00+00:00,Supabase github.com/ / $80M Series C,True,VC Deal Flow Signal Underwriting Receipts,https://signals.gitdealflow.com/wins
replicate,replicate,replicate-python,https://github.com/replicate/replicate-python,2024-04-22 00:00:00+00:00,Replicate github.com/ / -python $40M Series B (a16z),True,VC Deal Flow Signal Underwriting Receipts,https://signals.gitdealflow.com/wins
get-convex,get-convex,convex-backend,https://github.com/get-convex/convex-backend,2024-04-30 00:00:00+00:00,Convex github.com/ /convex-backend $26M Series A (Sequoia),True,VC Deal Flow Signal Underwriting Receipts,https://signals.gitdealflow.com/wins
pinecone-io,pinecone-io,pinecone-python-client,https://github.com/pinecone-io/pinecone-python-client,2024-05-02 00:00:00+00:00,Pinecone github.com/ /pinecone-python-client $100M Series B ($750M valuation),True,VC Deal Flow Signal Underwriting Receipts,https://signals.gitdealflow.com/wins
vercel,vercel,ai,https://github.com/vercel/ai,2024-05-16 00:00:00+00:00,Vercel github.com/ /ai $3.25B valuation (Series E),True,VC Deal Flow Signal Underwriting Receipts,https://signals.gitdealflow.com/wins
vercel,vercel,next.js,https://github.com/vercel/next.js,2024-05-16 00:00:00+00:00,Vercel github.com/ /next.js $3.25B valuation (Series E),True,VC Deal Flow Signal Underwriting Receipts,https://signals.gitdealflow.com/wins
vercel,vercel,turbo,https://github.com/vercel/turbo,2024-05-16 00:00:00+00:00,Vercel github.com/ /turbo $3.25B valuation (Series E),True,VC Deal Flow Signal Underwriting Receipts,https://signals.gitdealflow.com/wins
coollabsio,coollabsio,coolify,https://github.com/coollabsio/coolify,2024-06-01 00:00:00+00:00,Coolify github.com/ /coolify Mass adoption / 30K+ stars,False,VC Deal Flow Signal Underwriting Receipts,https://signals.gitdealflow.com/wins
windmill-labs,windmill-labs,windmill,https://github.com/windmill-labs/windmill,2024-06-01 00:00:00+00:00,Windmill github.com/ /windmill Mass adoption / 12K+ stars,False,VC Deal Flow Signal Underwriting Receipts,https://signals.gitdealflow.com/wins
BerriAI,BerriAI,litellm,https://github.com/BerriAI/litellm,2024-07-15 00:00:00+00:00,LiteLLM github.com/ /litellm $5M seed (a16z),True,VC Deal Flow Signal Underwriting Receipts,https://signals.gitdealflow.com/wins
All-Hands-AI,All-Hands-AI,OpenHands,https://github.com/All-Hands-AI/OpenHands,2024-08-01 00:00:00+00:00,OpenHands (Cognition adjacent) github.com/ /OpenHands Breakout adoption / 35K+ stars,False,VC Deal Flow Signal Underwriting Receipts,https://signals.gitdealflow.com/wins
groq,groq,groq-python,https://github.com/groq/groq-python,2024-08-05 00:00:00+00:00,Groq github.com/ / -python $640M Series D ($2.8B valuation),True,VC Deal Flow Signal Underwriting Receipts,https://signals.gitdealflow.com/wins
resend,resend,react-email,https://github.com/resend/react-email,2024-08-13 00:00:00+00:00,Resend github.com/ /react-email $18M Series A (Sequoia),True,VC Deal Flow Signal Underwriting Receipts,https://signals.gitdealflow.com/wins
resend,resend,resend-node,https://github.com/resend/resend-node,2024-08-13 00:00:00+00:00,Resend github.com/ / -node $18M Series A (Sequoia),True,VC Deal Flow Signal Underwriting Receipts,https://signals.gitdealflow.com/wins
lobehub,lobehub,lobe-chat,https://github.com/lobehub/lobe-chat,2024-09-01 00:00:00+00:00,LobeChat github.com/ /lobe-chat Breakout adoption / 60K+ stars,False,VC Deal Flow Signal Underwriting Receipts,https://signals.gitdealflow.com/wins
ollama,ollama,ollama,https://github.com/ollama/ollama,2024-09-01 00:00:00+00:00,Ollama github.com/ / Series A reported / breakout adoption,False,VC Deal Flow Signal Underwriting Receipts,https://signals.gitdealflow.com/wins
modal-labs,modal-labs,modal-client,https://github.com/modal-labs/modal-client,2024-09-04 00:00:00+00:00,Modal github.com/ /modal-client $80M Series B (Lux Capital),True,VC Deal Flow Signal Underwriting Receipts,https://signals.gitdealflow.com/wins
calcom,calcom,cal.com,https://github.com/calcom/cal.com,2024-09-17 00:00:00+00:00,Cal.com github.com/ /cal.com $32M Series B (Sequoia),True,VC Deal Flow Signal Underwriting Receipts,https://signals.gitdealflow.com/wins
open-webui,open-webui,open-webui,https://github.com/open-webui/open-webui,2024-10-01 00:00:00+00:00,Open WebUI github.com/ / Breakout adoption / 90K+ stars,False,VC Deal Flow Signal Underwriting Receipts,https://signals.gitdealflow.com/wins
openai,openai,openai-python,https://github.com/openai/openai-python,2024-10-02 00:00:00+00:00,"OpenAI github.com/ / -python $157B valuation (Series), 2024-10",False,VC Deal Flow Signal Underwriting Receipts,https://signals.gitdealflow.com/wins
openai,openai,whisper,https://github.com/openai/whisper,2024-10-02 00:00:00+00:00,"OpenAI github.com/ /whisper $157B valuation (Series), 2024-10",False,VC Deal Flow Signal Underwriting Receipts,https://signals.gitdealflow.com/wins
getcursor,getcursor,cursor,https://github.com/getcursor/cursor,2024-12-19 00:00:00+00:00,Cursor (Anysphere) github.com/ /cursor $2.6B valuation (Series B),True,VC Deal Flow Signal Underwriting Receipts,https://signals.gitdealflow.com/wins
comfyanonymous,comfyanonymous,ComfyUI,https://github.com/comfyanonymous/ComfyUI,2025-01-08 00:00:00+00:00,ComfyUI / Comfy Org github.com/ /ComfyUI $17M seed (a16z),True,VC Deal Flow Signal Underwriting Receipts,https://signals.gitdealflow.com/wins
anthropics,anthropics,anthropic-sdk-python,https://github.com/anthropics/anthropic-sdk-python,2025-03-04 00:00:00+00:00,Anthropic github.com/ /anthropic-sdk-python $60B+ valuation (Series E),True,VC Deal Flow Signal Underwriting Receipts,https://signals.gitdealflow.com/wins
